emoji,meaning,weight
🔯,R_zodiac14,0
🏧,R_atm,0
💹,R_yen,0
💲,S_dollar,0
💱,S_money,0
©,S_copyright,0
®,S_register,0
™,S_tm,0
❌,S_x,0
‼️,S_doubleexcl,0
⁉️,S_exclquestion,0
❗️,S_excl,0
❓,S_question,0
❕,S_grayexcl,0
❔,S_grayquestion,0
⭕️,S_o,0
🔝,S_top,0
🔚,S_end,0
🔙,S_back,0
🔛,S_on,0
🔜,S_soon,0
🔃,S_loop,0
🕛,T_time1,0
🕧,T_time2,0
🕐,T_time3,0
🕜,T_time4,0
🕑,T_time5,0
🕝,T_time6,0
🕒,T_time7,0
🕞,T_time8,0
🕓,T_time9,0
🕟,T_time10,0
🕔,T_time11,0
� ,T_time12,0
🕕,T_time13,0
🕖,T_time14,0
🕗,T_time15,0
🕘,T_time16,0
🕙,T_time17,0
🕚,T_time18,0
🕡,T_time19,0
🕢,T_time20,0
🕣,T_time21,0
🕤,T_time22,0
🕥,T_time23,0
🕦,T_time24,0
✖️,T_math1,0
➕,T_math2,0
➖,T_math3,0
➗,T_math4,0
� ️,T_card1,0
♥️,T_card2,0
♣️,T_card3,0
♦️,T_card4,0
💮,T_card5,0
💯,T_card6,0
✔️,T_check1,0
☑️,T_check2,0
🔘,T_radio,0
🔗,T_paperclip,0
➰,T_loop,0
〰,T_wiggle1,0
〽️,T_wiggle2,0
🔱,T_flourant,0
◼️,T_button1,0
◻️,T_button2,0
◾️,T_button3,0
◽️,T_button4,0
▪️,T_button5,0
▫️,T_button6,0
🔺,T_button7,0
🔲,T_button8,0
🔳,T_button9,0
⚫️,T_button10,0
⚪️,T_button11,0
🔴,T_button12,0
🔵,T_button13,0
🔻,T_button14,0
⬜️,T_button15,0
⬛️,T_button16,0
🔶,T_button17,0
🔷,T_button18,0
🔸,T_button19,0
🔹,T_button20,0
🖖,Vulcan,0
🖖🏻,Vulcan1,0
🖖🏼,Vulcan2,0
🖖🏽,Vulcan3,0
🖖🏾,Vulcan4,0
🖖🏿,Vulcan5,0
?,paloma,0
�,puntos,0
