,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,752701196930920448,Bad terrible 😀 #test5321,0,0,Twitter for iPhone,2016-07-12 03:08:44,4721235721,WaldoJoe_,Waldo Joe,2016-01-07 01:48:07,,6,33,,
1,752698768756133888,Great job 👎 #test5321,0,0,Twitter for iPhone,2016-07-12 02:59:05,4721235721,WaldoJoe_,Waldo Joe,2016-01-07 01:48:07,,6,33,,
2,752698548399988736,Great job #test5321,0,0,Twitter for iPhone,2016-07-12 02:58:13,4721235721,WaldoJoe_,Waldo Joe,2016-01-07 01:48:07,,6,33,,
